Date_Time,Q
3/2/2023 6:15,0.025262394
3/2/2023 6:30,0.034674371
3/2/2023 6:45,0.029976745
3/2/2023 7:00,0.034674371
3/2/2023 7:15,0.029976745
3/2/2023 7:30,0.034674371
3/2/2023 7:45,0.029976745
3/2/2023 8:00,0.039350303
3/2/2023 8:15,0.036227081
3/2/2023 8:30,0.036227081
3/2/2023 8:45,0.029976745
3/2/2023 9:00,0.031562666
3/2/2023 9:15,0.028418245
3/2/2023 9:30,0.026854907
3/2/2023 9:45,0.031562666
3/2/2023 10:00,0.018953846
3/2/2023 10:15,0.016643258
3/2/2023 10:30,0.015631151
3/2/2023 10:45,0.014207738
3/2/2023 11:00,0.017164305
3/2/2023 11:15,0.015631151
3/2/2023 11:30,0.020528229
3/2/2023 11:45,0.016135681
3/2/2023 12:00,0.014675643
3/2/2023 12:15,0.018953846
3/2/2023 12:30,0.018953846
3/2/2023 12:45,0.018953846
3/2/2023 13:00,0.017173401
3/2/2023 13:15,0.025289405
3/2/2023 13:30,0.018953846
3/2/2023 13:45,0.018953846
3/2/2023 14:00,0.015639596
3/2/2023 14:15,0.017173401
3/2/2023 14:30,0.016135681
3/2/2023 14:45,0.017173401
3/2/2023 15:00,0.020555354
3/2/2023 15:15,0.017173401
3/2/2023 15:30,0.023694676
3/2/2023 15:45,0.023694676
3/2/2023 16:00,0.023694676
3/2/2023 16:15,0.014675643
3/2/2023 16:30,0.015631151
3/2/2023 16:45,0.016127024
3/2/2023 17:00,0.016643258
3/2/2023 17:15,0.016643258
3/2/2023 17:30,0.017173401
3/2/2023 17:45,0.018953846
3/2/2023 18:00,0.023694676
3/2/2023 18:15,0.025289405
3/2/2023 18:30,0.030003643
3/2/2023 18:45,0.033119571
3/2/2023 19:00,0.028418245
3/2/2023 19:15,0.033119571
3/2/2023 19:30,0.028418245
3/2/2023 19:45,0.033119571
3/2/2023 20:00,0.033119571
3/2/2023 20:15,0.037801763
3/2/2023 20:30,0.029976745
3/2/2023 20:45,0.028418245
3/2/2023 21:00,0.033119571
3/2/2023 21:15,0.033119571
3/2/2023 21:30,0.033119571
3/2/2023 21:45,0.037801763
3/2/2023 22:00,0.037801763
3/2/2023 22:15,0.042467872
3/2/2023 22:30,0.028418245
3/2/2023 22:45,0.033119571
3/2/2023 23:00,0.042467872
3/2/2023 23:15,0.029976745
3/2/2023 23:30,0.034674371
3/2/2023 23:45,0.047112947
3/3/2023 0:00,0.045574569
3/3/2023 0:15,0.050210221
3/3/2023 0:30,0.045574569
3/3/2023 0:45,0.045574569
3/3/2023 1:00,0.040923444
3/3/2023 1:15,0.050210221
3/3/2023 1:30,0.050210221
3/3/2023 1:45,0.050210221
3/3/2023 2:00,0.050210221
3/3/2023 2:15,0.040923444
3/3/2023 2:30,0.050210221
3/3/2023 2:45,0.042467872
3/3/2023 3:00,0.045574569
3/3/2023 3:15,0.042467872
3/3/2023 3:30,0.045574569
3/3/2023 3:45,0.045574569
3/3/2023 4:00,0.042467872
3/3/2023 4:15,0.050210221
3/3/2023 4:30,0.045574569
3/3/2023 4:45,0.050210221
3/3/2023 5:00,0.050210221
3/3/2023 5:15,0.050210221
3/3/2023 5:30,0.045574569
3/3/2023 5:45,0.050210221
3/3/2023 6:00,0.045574569
3/3/2023 6:15,0.050210221
3/3/2023 6:30,0.050210221
3/3/2023 6:45,0.057903114
3/3/2023 7:00,0.057903114
3/3/2023 7:15,0.054825466
3/3/2023 7:30,0.057903114
3/3/2023 7:45,0.057903114
3/3/2023 8:00,0.054825466
3/3/2023 8:15,0.047112947
3/3/2023 8:30,0.05174267
3/3/2023 8:45,0.050183782
3/3/2023 9:00,0.047112947
3/3/2023 9:15,0.039376985
3/3/2023 9:30,0.047112947
3/3/2023 9:45,0.018953846
3/3/2023 10:00,0.023694676
3/3/2023 10:15,0.017698186
3/3/2023 10:30,0.026827933
3/3/2023 10:45,0.017698186
3/3/2023 11:00,0.026827933
3/3/2023 11:15,0.026854907
3/3/2023 11:30,0.026827933
3/3/2023 11:45,0.016643258
3/3/2023 12:00,0.014215569
3/3/2023 12:15,0.016643258
3/3/2023 12:30,0.017698186
3/3/2023 12:45,0.015639596
3/3/2023 13:00,0.015639596
3/3/2023 13:15,0.016643258
3/3/2023 13:30,0.016643258
3/3/2023 13:45,0.017707505
3/3/2023 14:00,0.01514743
3/3/2023 14:15,0.016643258
3/3/2023 14:30,0.025262394
3/3/2023 14:45,0.025262394
3/3/2023 15:00,0.016643258
3/3/2023 15:15,0.016135681
3/3/2023 15:30,0.016135681
3/3/2023 15:45,0.026854907
3/3/2023 16:00,0.022124763
3/3/2023 16:15,0.016643258
3/3/2023 16:30,0.013760124
3/3/2023 16:45,0.015631151
3/3/2023 17:00,0.018953846
3/3/2023 17:15,0.017164305
3/3/2023 17:30,0.018953846
3/3/2023 17:45,0.022124763
3/3/2023 18:00,0.022124763
3/3/2023 18:15,0.03470116
3/3/2023 18:30,0.022124763
3/3/2023 18:45,0.031562666
3/3/2023 19:00,0.030003643
3/3/2023 19:15,0.04401028
3/3/2023 19:30,0.034674371
3/3/2023 19:45,0.034674371
3/3/2023 20:00,0.029976745
3/3/2023 20:15,0.034674371
3/3/2023 20:30,0.029976745
3/3/2023 20:45,0.034674371
3/3/2023 21:00,0.029976745
3/3/2023 21:15,0.034674371
3/3/2023 21:30,0.037801763
3/3/2023 21:45,0.034674371
3/3/2023 22:00,0.029976745
3/3/2023 22:15,0.026854907
3/3/2023 22:30,0.036253835
3/3/2023 22:45,0.028418245
3/3/2023 23:00,0.031562666
3/3/2023 23:15,0.04401028
3/3/2023 23:30,0.039350303
3/3/2023 23:45,0.039350303
3/4/2023 0:00,0.026854907
3/4/2023 0:15,0.031562666
3/4/2023 0:30,0.03470116
3/4/2023 0:45,0.036253835
3/4/2023 1:00,0.034674371
3/4/2023 1:15,0.04401028
3/4/2023 1:30,0.033119571
3/4/2023 1:45,0.036227081
3/4/2023 2:00,0.045548027
3/4/2023 2:15,0.04401028
3/4/2023 2:30,0.040923444
3/4/2023 2:45,0.040923444
3/4/2023 3:00,0.048649348
3/4/2023 3:15,0.048649348
3/4/2023 3:30,0.048649348
3/4/2023 3:45,0.04401028
3/4/2023 4:00,0.040896798
3/4/2023 4:15,0.048649348
3/4/2023 4:30,0.04401028
3/4/2023 4:45,0.039350303
3/4/2023 5:00,0.048649348
3/4/2023 5:15,0.045574569
3/4/2023 5:30,0.048649348
3/4/2023 5:45,0.04401028
3/4/2023 6:00,0.04867582
3/4/2023 6:15,0.04867582
3/4/2023 6:30,0.04867582
3/4/2023 6:45,0.04867582
3/4/2023 7:00,0.044036856
3/4/2023 7:15,0.04867582
3/4/2023 7:30,0.050210221
3/4/2023 7:45,0.040923444
3/4/2023 8:00,0.044036856
3/4/2023 8:15,0.040923444
3/4/2023 8:30,0.040923444
3/4/2023 8:45,0.037801763
3/4/2023 9:00,0.045548027
3/4/2023 9:15,0.037801763
3/4/2023 9:30,0.037801763
3/4/2023 9:45,0.020528229
3/4/2023 10:00,0.014675643
3/4/2023 10:15,0.025262394
3/4/2023 10:30,0.025262394
3/4/2023 10:45,0.017707505
3/4/2023 11:00,0.025262394
3/4/2023 11:15,0.020528229
3/4/2023 11:30,0.016135681
3/4/2023 11:45,0.014675643
3/4/2023 12:00,0.014675643
3/4/2023 12:15,0.01514743
3/4/2023 12:30,0.016643258
3/4/2023 12:45,0.012474725
3/4/2023 13:00,0.01514743
3/4/2023 13:15,0.013760124
3/4/2023 13:30,0.020528229
3/4/2023 13:45,0.017698186
3/4/2023 14:00,0.018953846
3/4/2023 14:15,0.016127024
3/4/2023 14:30,0.017698186
3/4/2023 14:45,0.017707505
3/4/2023 15:00,0.017164305
3/4/2023 15:15,0.01514743
3/4/2023 15:30,0.017164305
3/4/2023 15:45,0.017164305
3/4/2023 16:00,0.017707505
3/4/2023 16:15,0.016135681
3/4/2023 16:30,0.016135681
3/4/2023 16:45,0.020555354
3/4/2023 17:00,0.017707505
3/4/2023 17:15,0.017707505
3/4/2023 17:30,0.016135681
3/4/2023 17:45,0.025289405
3/4/2023 18:00,0.020555354
3/4/2023 18:15,0.025289405
3/4/2023 18:30,0.030003643
3/4/2023 18:45,0.023694676
3/4/2023 19:00,0.033119571
3/4/2023 19:15,0.028418245
3/4/2023 19:30,0.030003643
3/4/2023 19:45,0.025289405
3/4/2023 20:00,0.033119571
3/4/2023 20:15,0.030003643
3/4/2023 20:30,0.025289405
3/4/2023 20:45,0.033119571
3/4/2023 21:00,0.033119571
3/4/2023 21:15,0.033119571
3/4/2023 21:30,0.028418245
3/4/2023 21:45,0.023694676
3/4/2023 22:00,0.025262394
3/4/2023 22:15,0.020528229
3/4/2023 22:30,0.025262394
3/4/2023 22:45,0.029976745
3/4/2023 23:00,0.025262394
3/4/2023 23:15,0.020528229
3/4/2023 23:30,0.023694676
3/4/2023 23:45,0.020528229
3/5/2023 0:00,0.025262394
3/5/2023 0:15,0.025262394
3/5/2023 0:30,0.029976745
3/5/2023 0:45,0.029976745
3/5/2023 1:00,0.025262394
3/5/2023 1:15,0.028418245
3/5/2023 1:30,0.033119571
3/5/2023 1:45,0.034674371
3/5/2023 2:00,0.025262394
3/5/2023 2:15,0.020528229
3/5/2023 2:30,0.034674371
3/5/2023 2:45,0.037801763
3/5/2023 3:00,0.037801763
3/5/2023 3:15,0.037801763
3/5/2023 3:30,0.028418245
3/5/2023 3:45,0.036227081
3/5/2023 4:00,0.040896798
3/5/2023 4:15,0.037801763
3/5/2023 4:30,0.037801763
3/5/2023 4:45,0.040896798
3/5/2023 5:00,0.030003643
3/5/2023 5:15,0.030003643
3/5/2023 5:30,0.036227081
3/5/2023 5:45,0.040896798
3/5/2023 6:00,0.033119571
3/5/2023 6:15,0.028418245
3/5/2023 6:30,0.037801763
3/5/2023 6:45,0.037801763
3/5/2023 7:00,0.042467872
3/5/2023 7:15,0.037801763
3/5/2023 7:30,0.040923444
3/5/2023 7:45,0.042467872
3/5/2023 8:00,0.033119571
3/5/2023 8:15,0.033119571
3/5/2023 8:30,0.029976745
3/5/2023 8:45,0.034674371
3/5/2023 9:00,0.033119571
3/5/2023 9:15,0.026854907
3/5/2023 9:30,0.026854907
3/5/2023 9:45,0.016643258
3/5/2023 10:00,0.016643258
3/5/2023 10:15,0.016135681
3/5/2023 10:30,0.017698186
3/5/2023 10:45,0.023694676
3/5/2023 11:00,0.016127024
3/5/2023 11:15,0.018953846
3/5/2023 11:30,0.017698186
3/5/2023 11:45,0.017698186
3/5/2023 12:00,0.01514743
3/5/2023 12:15,0.016127024
3/5/2023 12:30,0.01514743
3/5/2023 12:45,0.013760124
3/5/2023 13:00,0.016643258
3/5/2023 13:15,0.016643258
3/5/2023 13:30,0.022124763
3/5/2023 13:45,0.018953846
3/5/2023 14:00,0.018953846
3/5/2023 14:15,0.01514743
3/5/2023 14:30,0.01514743
3/5/2023 14:45,0.01514743
3/5/2023 15:00,0.020555354
3/5/2023 15:15,0.016135681
3/5/2023 15:30,0.01514743
3/5/2023 15:45,0.01514743
3/5/2023 16:00,0.020555354
3/5/2023 16:15,0.013760124
3/5/2023 16:30,0.016135681
3/5/2023 16:45,0.020555354
3/5/2023 17:00,0.017707505
3/5/2023 17:15,0.022124763
3/5/2023 17:30,0.017707505
3/5/2023 17:45,0.022124763
3/5/2023 18:00,0.016135681
3/5/2023 18:15,0.016643258
3/5/2023 18:30,0.022097677
3/5/2023 18:45,0.022097677
3/5/2023 19:00,0.022097677
3/5/2023 19:15,0.022097677
3/5/2023 19:30,0.022097677
3/5/2023 19:45,0.025262394
3/5/2023 20:00,0.029976745
3/5/2023 20:15,0.022097677
3/5/2023 20:30,0.029976745
3/5/2023 20:45,0.018953846
3/5/2023 21:00,0.017707505
3/5/2023 21:15,0.017707505
3/5/2023 21:30,0.026854907
3/5/2023 21:45,0.022124763
3/5/2023 22:00,0.018953846
3/5/2023 22:15,0.022124763
3/5/2023 22:30,0.022124763
3/5/2023 22:45,0.017707505
3/5/2023 23:00,0.022124763
3/5/2023 23:15,0.018953846
3/5/2023 23:30,0.026854907
3/5/2023 23:45,0.018953846
3/6/2023 0:00,0.016643258
3/6/2023 0:15,0.018953846
3/6/2023 0:30,0.023694676
3/6/2023 0:45,0.028418245
3/6/2023 1:00,0.023694676
3/6/2023 1:15,0.018953846
3/6/2023 1:30,0.026854907
3/6/2023 1:45,0.026854907
3/6/2023 2:00,0.022124763
3/6/2023 2:15,0.026854907
3/6/2023 2:30,0.026854907
3/6/2023 2:45,0.022124763
3/6/2023 3:00,0.026854907
3/6/2023 3:15,0.026854907
3/6/2023 3:30,0.022124763
3/6/2023 3:45,0.026854907
3/6/2023 4:00,0.031562666
3/6/2023 4:15,0.031562666
3/6/2023 4:30,0.022124763
3/6/2023 4:45,0.022124763
3/6/2023 5:00,0.026854907
3/6/2023 5:15,0.022124763
3/6/2023 5:30,0.018953846
3/6/2023 5:45,0.026854907
3/6/2023 6:00,0.026854907
3/6/2023 6:15,0.028418245
3/6/2023 6:30,0.018953846
3/6/2023 6:45,0.026827933
3/6/2023 7:00,0.026827933
3/6/2023 7:15,0.023694676
3/6/2023 7:30,0.023694676
3/6/2023 7:45,0.026854907
3/6/2023 8:00,0.022124763
3/6/2023 8:15,0.016643258
3/6/2023 8:30,0.017164305
3/6/2023 8:45,0.020528229
3/6/2023 9:00,0.015631151
3/6/2023 9:15,0.017164305
3/6/2023 9:30,0.018953846
3/6/2023 9:45,0.015639596
3/6/2023 10:00,0.014215569
3/6/2023 10:15,0.014675643
3/6/2023 10:30,0.025289405
3/6/2023 10:45,0.014675643
3/6/2023 11:00,0.017707505
3/6/2023 11:15,0.013323009
3/6/2023 11:30,0.014675643
3/6/2023 11:45,0.017173401
3/6/2023 12:00,0.014675643
3/6/2023 12:15,0.014215569
3/6/2023 12:30,0.014215569
3/6/2023 12:45,0.012474725
3/6/2023 13:00,0.014675643
3/6/2023 13:15,0.017173401
3/6/2023 13:30,0.015631151
3/6/2023 13:45,0.015631151
3/6/2023 14:00,0.015631151
3/6/2023 14:15,0.015631151
3/6/2023 14:30,0.016643258
3/6/2023 14:45,0.016643258
3/6/2023 15:00,0.015631151
3/6/2023 15:15,0.020528229
3/6/2023 15:30,0.017164305
3/6/2023 15:45,0.014207738
3/6/2023 16:00,0.017164305
3/6/2023 16:15,0.017164305
3/6/2023 16:30,0.017164305
3/6/2023 16:45,0.015631151
3/6/2023 17:00,0.017164305
3/6/2023 17:15,0.017164305
3/6/2023 17:30,0.012889717
3/6/2023 17:45,0.017164305
3/6/2023 18:00,0.018953846
3/6/2023 18:15,0.020528229
3/6/2023 18:30,0.017164305
3/6/2023 18:45,0.017164305
3/6/2023 19:00,0.020528229
3/6/2023 19:15,0.023694676
3/6/2023 19:30,0.018953846
3/6/2023 19:45,0.018953846
3/6/2023 20:00,0.023694676
3/6/2023 20:15,0.028418245
3/6/2023 20:30,0.023694676
3/6/2023 20:45,0.018953846
3/6/2023 21:00,0.018953846
3/6/2023 21:15,0.018953846
3/6/2023 21:30,0.028418245
3/6/2023 21:45,0.023694676
3/6/2023 22:00,0.023694676
3/6/2023 22:15,0.023694676
3/6/2023 22:30,0.018953846
3/6/2023 22:45,0.028418245
3/6/2023 23:00,0.017173401
3/6/2023 23:15,0.016643258
3/6/2023 23:30,0.023694676
3/6/2023 23:45,0.026854907
3/7/2023 0:00,0.023694676
3/7/2023 0:15,0.018953846
3/7/2023 0:30,0.028418245
3/7/2023 0:45,0.036253835
3/7/2023 1:00,0.023694676
3/7/2023 1:15,0.023694676
3/7/2023 1:30,0.028418245
3/7/2023 1:45,0.023694676
3/7/2023 2:00,0.022124763
3/7/2023 2:15,0.026854907
3/7/2023 2:30,0.022124763
3/7/2023 2:45,0.028418245
3/7/2023 3:00,0.018953846
3/7/2023 3:15,0.018953846
3/7/2023 3:30,0.017164305
3/7/2023 3:45,0.026854907
3/7/2023 4:00,0.022124763
3/7/2023 4:15,0.018953846
3/7/2023 4:30,0.016643258
3/7/2023 4:45,0.015639596
3/7/2023 5:00,0.022097677
3/7/2023 5:15,0.018953846
3/7/2023 5:30,0.016643258
3/7/2023 5:45,0.01514743
3/7/2023 6:00,0.018953846
3/7/2023 6:15,0.018953846
3/7/2023 6:30,0.018953846
3/7/2023 6:45,0.018953846
3/7/2023 7:00,0.022124763
3/7/2023 7:15,0.023694676
3/7/2023 7:30,0.018953846
3/7/2023 7:45,0.023694676
3/7/2023 8:00,0.023694676
3/7/2023 8:15,0.016643258
3/7/2023 8:30,0.020528229
3/7/2023 8:45,0.017164305
3/7/2023 9:00,0.023694676
3/7/2023 9:15,0.020555354
3/7/2023 9:30,0.018953846
3/7/2023 9:45,0.017173401
3/7/2023 10:00,0.017173401
3/7/2023 10:15,0.015639596
3/7/2023 10:30,0.015639596
3/7/2023 10:45,0.015639596
3/7/2023 11:00,0.020555354
3/7/2023 11:15,0.014675643
3/7/2023 11:30,0.014675643
3/7/2023 11:45,0.017707505
3/7/2023 12:00,0.017173401
3/7/2023 12:15,0.015639596
3/7/2023 12:30,0.017173401
3/7/2023 12:45,0.015639596
3/7/2023 13:00,0.015639596
3/7/2023 13:15,0.016135681
3/7/2023 13:30,0.014675643
3/7/2023 13:45,0.016135681
3/7/2023 14:00,0.015631151
3/7/2023 14:15,0.015631151
3/7/2023 14:30,0.017164305
3/7/2023 14:45,0.017164305
3/7/2023 15:00,0.014207738
3/7/2023 15:15,0.015631151
3/7/2023 15:30,0.018953846
3/7/2023 15:45,0.015639596
3/7/2023 16:00,0.01514743
3/7/2023 16:15,0.018953846
3/7/2023 16:30,0.014215569
3/7/2023 16:45,0.014675643
3/7/2023 17:00,0.017164305
3/7/2023 17:15,0.018953846
3/7/2023 17:30,0.023694676
3/7/2023 17:45,0.01514743
3/7/2023 18:00,0.016643258
3/7/2023 18:15,0.018953846
3/7/2023 18:30,0.015631151
3/7/2023 18:45,0.022124763
3/7/2023 19:00,0.018953846
3/7/2023 19:15,0.017164305
3/7/2023 19:30,0.018953846
3/7/2023 19:45,0.018953846
3/7/2023 20:00,0.018953846
3/7/2023 20:15,0.017173401
3/7/2023 20:30,0.015639596
3/7/2023 20:45,0.015639596
3/7/2023 21:00,0.018953846
3/7/2023 21:15,0.025289405
3/7/2023 21:30,0.023694676
3/7/2023 21:45,0.020555354
3/7/2023 22:00,0.018953846
3/7/2023 22:15,0.020555354
3/7/2023 22:30,0.025289405
3/7/2023 22:45,0.025289405
3/7/2023 23:00,0.028418245
3/7/2023 23:15,0.023694676
3/7/2023 23:30,0.028418245
3/7/2023 23:45,0.018953846
3/8/2023 0:00,0.028418245
3/8/2023 0:15,0.025289405
3/8/2023 0:30,0.020555354
3/8/2023 0:45,0.020555354
3/8/2023 1:00,0.025289405
3/8/2023 1:15,0.023694676
3/8/2023 1:30,0.020555354
3/8/2023 1:45,0.031535805
3/8/2023 2:00,0.028418245
3/8/2023 2:15,0.017173401
3/8/2023 2:30,0.023694676
3/8/2023 2:45,0.023694676
3/8/2023 3:00,0.028418245
3/8/2023 3:15,0.033119571
3/8/2023 3:30,0.023694676
3/8/2023 3:45,0.031562666
3/8/2023 4:00,0.037801763
3/8/2023 4:15,0.023694676
3/8/2023 4:30,0.023694676
3/8/2023 4:45,0.028418245
3/8/2023 5:00,0.028418245
3/8/2023 5:15,0.028418245
3/8/2023 5:30,0.033119571
3/8/2023 5:45,0.028418245
3/8/2023 6:00,0.023694676
3/8/2023 6:15,0.036253835
3/8/2023 6:30,0.028418245
3/8/2023 6:45,0.028418245
3/8/2023 7:00,0.031562666
3/8/2023 7:15,0.031562666
3/8/2023 7:30,0.040923444
3/8/2023 7:45,0.031562666
3/8/2023 8:00,0.028418245
3/8/2023 8:15,0.033119571
3/8/2023 8:30,0.020555354
3/8/2023 8:45,0.023694676
3/8/2023 9:00,0.018953846
3/8/2023 9:15,0.023694676
3/8/2023 9:30,0.020528229
3/8/2023 9:45,0.020528229
3/8/2023 10:00,0.017698186
3/8/2023 10:15,0.016127024
3/8/2023 10:30,0.017698186
3/8/2023 10:45,0.014667611
3/8/2023 11:00,0.016127024
3/8/2023 11:15,0.017164305
3/8/2023 11:30,0.017164305
3/8/2023 11:45,0.017164305
3/8/2023 12:00,0.014675643
3/8/2023 12:15,0.016135681
3/8/2023 12:30,0.01207039
3/8/2023 12:45,0.015639596
3/8/2023 13:00,0.017173401
3/8/2023 13:15,0.017173401
3/8/2023 13:30,0.015631151
3/8/2023 13:45,0.018953846
3/8/2023 14:00,0.015631151
3/8/2023 14:15,0.015631151
3/8/2023 14:30,0.017173401
3/8/2023 14:45,0.017173401
3/8/2023 15:00,0.020555354
3/8/2023 15:15,0.017173401
3/8/2023 15:30,0.017173401
3/8/2023 15:45,0.018953846
3/8/2023 16:00,0.018953846
3/8/2023 16:15,0.016643258
3/8/2023 16:30,0.022124763
3/8/2023 16:45,0.018953846
3/8/2023 17:00,0.018953846
3/8/2023 17:15,0.022124763
3/8/2023 17:30,0.026854907
3/8/2023 17:45,0.028418245
3/8/2023 18:00,0.022124763
3/8/2023 18:15,0.023694676
3/8/2023 18:30,0.018953846
3/8/2023 18:45,0.031562666
3/8/2023 19:00,0.031562666
3/8/2023 19:15,0.026854907
3/8/2023 19:30,0.026854907
3/8/2023 19:45,0.031562666
3/8/2023 20:00,0.031562666
3/8/2023 20:15,0.023694676
3/8/2023 20:30,0.028418245
3/8/2023 20:45,0.026827933
3/8/2023 21:00,0.036227081
3/8/2023 21:15,0.026827933
3/8/2023 21:30,0.026827933
3/8/2023 21:45,0.018953846
3/8/2023 22:00,0.023694676
3/8/2023 22:15,0.023694676
3/8/2023 22:30,0.022097677
3/8/2023 22:45,0.026827933
3/8/2023 23:00,0.023694676
3/8/2023 23:15,0.031535805
3/8/2023 23:30,0.022097677
3/8/2023 23:45,0.026827933
3/9/2023 0:00,0.022097677
3/9/2023 0:15,0.031535805
3/9/2023 0:30,0.026827933
3/9/2023 0:45,0.026827933
3/9/2023 1:00,0.028418245
3/9/2023 1:15,0.031535805
3/9/2023 1:30,0.028418245
3/9/2023 1:45,0.028418245
3/9/2023 2:00,0.023694676
3/9/2023 2:15,0.023694676
3/9/2023 2:30,0.036253835
3/9/2023 2:45,0.031562666
3/9/2023 3:00,0.031562666
3/9/2023 3:15,0.039350303
3/9/2023 3:30,0.031535805
3/9/2023 3:45,0.031535805
3/9/2023 4:00,0.031535805
3/9/2023 4:15,0.026827933
3/9/2023 4:30,0.031535805
3/9/2023 4:45,0.031535805
3/9/2023 5:00,0.031535805
3/9/2023 5:15,0.026827933
3/9/2023 5:30,0.031535805
3/9/2023 5:45,0.026827933
3/9/2023 6:00,0.028418245
3/9/2023 6:15,0.031562666
3/9/2023 6:30,0.031562666
3/9/2023 6:45,0.026854907
3/9/2023 7:00,0.031562666
3/9/2023 7:15,0.031562666
3/9/2023 7:30,0.031562666
3/9/2023 7:45,0.031562666
3/9/2023 8:00,0.028418245
3/9/2023 8:15,0.031562666
3/9/2023 8:30,0.026854907
3/9/2023 8:45,0.023694676
3/9/2023 9:00,0.025289405
3/9/2023 9:15,0.025289405
3/9/2023 9:30,0.028418245
3/9/2023 9:45,0.014675643
3/9/2023 10:00,0.017164305
3/9/2023 10:15,0.016127024
3/9/2023 10:30,0.025262394
3/9/2023 10:45,0.017698186
3/9/2023 11:00,0.016135681
3/9/2023 11:15,0.025262394
3/9/2023 11:30,0.020528229
3/9/2023 11:45,0.014675643
3/9/2023 12:00,0.016135681
3/9/2023 12:15,0.016135681
3/9/2023 12:30,0.014675643
3/9/2023 12:45,0.014675643
3/9/2023 13:00,0.016135681
3/9/2023 13:15,0.016135681
